[2025-09-18T14:52:10.170Z] [ERROR] Error: this.initializeGoogleSheets is not a function | {"message":"this.initializeGoogleSheets is not a function","stack":"TypeError: this.initializeGoogleSheets is not a function\n    at EnhancedWhatsAppTailorBot.start (C:\\Users\\gssai\\OneDrive\\Desktop\\Whatsapp-Moblie-Bot\\enhanced-main-bot.js:767:24)\n    at Object.<anonymous> (C:\\Users\\gssai\\OneDrive\\Desktop\\Whatsapp-Moblie-Bot\\enhanced-main-bot.js:812:9)\n    at Module._compile (node:internal/modules/cjs/loader:1706:14)\n    at Object..js (node:internal/modules/cjs/loader:1839:10)\n    at Module.load (node:internal/modules/cjs/loader:1441:32)\n    at Function._load (node:internal/modules/cjs/loader:1263:12)\n    at TracingChannel.traceSync (node:diagnostics_channel:322:14)\n    at wrapModuleLoad (node:internal/modules/cjs/loader:237:24)\n    at Function.executeUserEntryPoint [as runMain] (node:internal/modules/run_main:171:5)\n    at node:internal/main/run_main_module:36:49","context":"start"}
[2025-09-18T14:55:00.378Z] [ERROR] Error: listen EADDRINUSE: address already in use :::3001 | {"message":"listen EADDRINUSE: address already in use :::3001","stack":"Error: listen EADDRINUSE: address already in use :::3001\n    at Server.setupListenHandle [as _listen2] (node:net:1940:16)\n    at listenInCluster (node:net:1997:12)\n    at Server.listen (node:net:2102:7)\n    at Function.listen (C:\\Users\\gssai\\OneDrive\\Desktop\\Whatsapp-Moblie-Bot\\node_modules\\express\\lib\\application.js:635:24)\n    at EnhancedWhatsAppTailorBot.start (C:\\Users\\gssai\\OneDrive\\Desktop\\Whatsapp-Moblie-Bot\\enhanced-main-bot.js:916:22)","context":"uncaughtException"}
[2025-09-18T15:09:05.254Z] [ERROR] Error: listen EADDRINUSE: address already in use :::3001 | {"message":"listen EADDRINUSE: address already in use :::3001","stack":"Error: listen EADDRINUSE: address already in use :::3001\n    at Server.setupListenHandle [as _listen2] (node:net:1940:16)\n    at listenInCluster (node:net:1997:12)\n    at Server.listen (node:net:2102:7)\n    at Function.listen (C:\\Users\\gssai\\OneDrive\\Desktop\\Whatsapp-Moblie-Bot\\node_modules\\express\\lib\\application.js:635:24)\n    at EnhancedWhatsAppTailorBot.start (C:\\Users\\gssai\\OneDrive\\Desktop\\Whatsapp-Moblie-Bot\\enhanced-main-bot.js:916:22)","context":"uncaughtException"}
[2025-09-18T15:14:26.575Z] [ERROR] Plugin audio-generator failed to handle message | {}
[2025-09-18T15:14:26.584Z] [ERROR] Plugin image-processor failed to handle message | {}
[2025-09-18T15:14:26.586Z] [ERROR] Plugin sticker-creator failed to handle message | {}
[2025-09-18T15:14:57.082Z] [ERROR] Plugin audio-generator failed to handle message | {}
[2025-09-18T15:14:57.091Z] [ERROR] Plugin image-processor failed to handle message | {}
[2025-09-18T15:14:57.092Z] [ERROR] Plugin sticker-creator failed to handle message | {}
[2025-09-18T15:15:18.277Z] [ERROR] Plugin audio-generator failed to handle message | {}
[2025-09-18T15:15:18.279Z] [ERROR] Plugin image-processor failed to handle message | {}
[2025-09-18T15:15:18.280Z] [ERROR] Plugin sticker-creator failed to handle message | {}
[2025-09-18T15:15:48.495Z] [ERROR] Plugin audio-generator failed to handle message | {}
[2025-09-18T15:15:48.497Z] [ERROR] Plugin image-processor failed to handle message | {}
[2025-09-18T15:15:48.499Z] [ERROR] Plugin sticker-creator failed to handle message | {}
[2025-09-18T15:15:58.890Z] [ERROR] Plugin audio-generator failed to handle message | {}
[2025-09-18T15:15:58.891Z] [ERROR] Plugin image-processor failed to handle message | {}
[2025-09-18T15:15:58.893Z] [ERROR] Plugin sticker-creator failed to handle message | {}
[2025-09-18T15:27:05.261Z] [ERROR] ❌ Error processing Main Orders | {"error":"request to https://sheets.googleapis.com/v4/spreadsheets/128vwp1tjsej9itNAkQY1Y-5sJsMv3N1TZi5Pl9Wgn6Y/values/A%3AZ failed, reason: getaddrinfo ENOTFOUND sheets.googleapis.com"}
[2025-09-18T15:27:07.936Z] [ERROR] ❌ Error processing Fabric Orders | {"error":"request to https://sheets.googleapis.com/v4/spreadsheets/1tFb4EBzzvdmDNY0bOtyTXAhX1aRqzfq7NzXLhDqYj0o/values/A%3AZ failed, reason: getaddrinfo ENOTFOUND sheets.googleapis.com"}
[2025-09-18T15:27:10.604Z] [ERROR] ❌ Error processing Combined Orders | {"error":"request to https://sheets.googleapis.com/v4/spreadsheets/199mFt3yz1cZQUGcF84pZgNQoxCpOS2gHxFGDD71CZVg/values/A%3AZ failed, reason: getaddrinfo ENOTFOUND sheets.googleapis.com"}
